NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT226;614;Murau;61443;Sankt Lambrecht ;924;967;1891;01.01.2017
AT2;AT22;AT226;614;Murau;61444;Scheifling ;1027;1098;2125;01.01.2017
AT2;AT22;AT226;614;Murau;61445;Stadl-Predlitz;843;845;1688;01.01.2017
AT2;AT22;AT226;614;Murau;61446;Teufenbach-Katsch  ;946;965;1911;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld ;1260;1198;2458;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61612;Ligist ;1583;1672;3255;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen ;1067;1136;2203;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach ;843;828;1671;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg ;391;392;783;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen ;1540;1589;3129;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg ;4487;4918;9405;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61626;Bärnbach ;2756;2922;5678;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61627;Edelschrott ;901;853;1754;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61628;Geistthal-Södingberg  ;804;751;1555;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61629;Hirschegg-Pack ;526;511;1037;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61630;Kainach bei Voitsberg ;822;825;1647;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61631;Köflach ;4770;5229;9999;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61632;Maria Lankowitz ;1441;1482;2923;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61633;Söding-Sankt Johann ;2067;2072;4139;01.01.2017
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch ;1027;1008;2035;01.01.2017
AT2;AT22;AT224;617;Weiz;61708;Fischbach ;763;745;1508;01.01.2017
AT2;AT22;AT224;617;Weiz;61710;Floing ;598;596;1194;01.01.2017
AT2;AT22;AT224;617;Weiz;61711;Gasen ;451;467;918;01.01.2017
AT2;AT22;AT224;617;Weiz;61716;Markt Hartmannsdorf ;1501;1461;2962;01.01.2017
AT2;AT22;AT224;617;Weiz;61719;Hofstätten an der Raab ;1097;1110;2207;01.01.2017
AT2;AT22;AT224;617;Weiz;61727;Ludersdorf-Wilfersdorf ;1155;1138;2293;01.01.2017
AT2;AT22;AT224;617;Weiz;61728;Miesenbach bei Birkfeld ;357;341;698;01.01.2017
AT2;AT22;AT224;617;Weiz;61729;Mitterdorf an der Raab ;1031;1029;2060;01.01.2017
AT2;AT22;AT224;617;Weiz;61730;Mortantsch ;1061;1056;2117;01.01.2017
AT2;AT22;AT224;617;Weiz;61731;Naas ;694;663;1357;01.01.2017
AT2;AT22;AT224;617;Weiz;61740;Puch bei Weiz ;1078;1017;2095;01.01.2017
AT2;AT22;AT224;617;Weiz;61741;Ratten ;592;576;1168;01.01.2017
AT2;AT22;AT224;617;Weiz;61743;Rettenegg ;382;367;749;01.01.2017
