NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_CODE;LAU_CODE;LAU_NAME;POP_2015;POP_2020;POP_2025;POP_2030
AT2;AT22;AT224;623;Südoststeiermark;62311;Edelsbach bei Feldbach;1363;1329;1314;1299
AT2;AT22;AT224;623;Südoststeiermark;62314;Eichkögl;1256;1267;1278;1284
AT2;AT22;AT224;623;Südoststeiermark;62326;Halbenrain;1733;1694;1657;1626
AT2;AT22;AT224;623;Südoststeiermark;62330;Jagerberg;1641;1593;1532;1477
AT2;AT22;AT224;623;Südoststeiermark;62332;Kapfenstein;1590;1536;1481;1432
AT2;AT22;AT224;623;Südoststeiermark;62335;Klöch;1210;1181;1143;1101
AT2;AT22;AT224;623;Südoststeiermark;62343;Mettersdorf am Saßbach;1294;1245;1207;1176
AT2;AT22;AT224;623;Südoststeiermark;62347;Murfeld;1655;1640;1614;1588
AT2;AT22;AT224;623;Südoststeiermark;62368;Tieschen;1287;1231;1180;1135
AT2;AT22;AT224;623;Südoststeiermark;62372;Unterlamm;1233;1184;1151;1126
AT2;AT22;AT224;623;Südoststeiermark;62375;Bad Gleichenberg;5292;5256;5239;5203
AT2;AT22;AT224;623;Südoststeiermark;62376;Bad Radkersburg;3092;3048;3014;2974
AT2;AT22;AT224;623;Südoststeiermark;62377;Deutsch Goritz;1821;1772;1713;1665
AT2;AT22;AT224;623;Südoststeiermark;62378;Fehring;7329;7252;7176;7109
AT2;AT22;AT224;623;Südoststeiermark;62379;Feldbach;13110;13319;13448;13496
AT2;AT22;AT224;623;Südoststeiermark;62380;Gnas;6086;5837;5669;5525
AT2;AT22;AT224;623;Südoststeiermark;62381;Kirchbach-Zerlach;3231;3166;3115;3072
AT2;AT22;AT224;623;Südoststeiermark;62382;Kirchberg an der Raab;4420;4416;4416;4410
AT2;AT22;AT224;623;Südoststeiermark;62383;Mureck;3579;3450;3361;3284
AT2;AT22;AT224;623;Südoststeiermark;62384;Paldau;3082;3048;2994;2947
AT2;AT22;AT224;623;Südoststeiermark;62385;Pirching am Traubenberg;2592;2561;2542;2530
AT2;AT22;AT224;623;Südoststeiermark;62386;Riegersburg;4926;4761;4635;4528
AT2;AT22;AT224;623;Südoststeiermark;62387;Sankt Anna am Aigen;2371;2259;2177;2109
AT2;AT22;AT224;623;Südoststeiermark;62388;Sankt Peter am Ottersbach;3016;2940;2876;2821
AT2;AT22;AT224;623;Südoststeiermark;62389;Sankt Stefan im Rosental;3998;3937;3867;3801
AT2;AT22;AT224;623;Südoststeiermark;62390;Straden;3677;3507;3408;3336
