NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT226;614;Murau;61440;Oberwölz ;419;458;572;684;509;338;2980;01.01.2017
AT2;AT22;AT226;614;Murau;61441;Ranten ;166;202;218;274;187;121;1168;01.01.2017
AT2;AT22;AT226;614;Murau;61442;Sankt Georgen am Kreischberg;245;266;342;434;304;203;1794;01.01.2017
AT2;AT22;AT226;614;Murau;61443;Sankt Lambrecht ;217;250;323;471;357;273;1891;01.01.2017
AT2;AT22;AT226;614;Murau;61444;Scheifling ;309;322;411;512;359;212;2125;01.01.2017
AT2;AT22;AT226;614;Murau;61445;Stadl-Predlitz;186;299;280;433;310;180;1688;01.01.2017
AT2;AT22;AT226;614;Murau;61446;Teufenbach-Katsch  ;270;328;364;437;278;234;1911;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld ;330;388;478;618;414;230;2458;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61612;Ligist ;451;487;632;807;564;314;3255;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen ;317;347;461;532;341;205;2203;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach ;164;285;289;419;322;192;1671;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg ;101;121;140;198;140;83;783;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen ;467;462;606;765;509;320;3129;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg ;1150;1435;1695;2273;1730;1122;9405;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61626;Bärnbach ;771;877;1107;1303;1002;618;5678;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61627;Edelschrott ;211;278;288;419;336;222;1754;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61628;Geistthal-Södingberg  ;180;257;289;409;276;144;1555;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61629;Hirschegg-Pack ;93;159;150;287;200;148;1037;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61630;Kainach bei Voitsberg ;219;245;315;431;285;152;1647;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61631;Köflach ;1075;1525;1737;2401;1993;1268;9999;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61632;Maria Lankowitz ;333;466;508;740;508;368;2923;01.01.2017
AT2;AT22;AT225;616;Voitsberg;61633;Söding-Sankt Johann ;607;629;865;1016;671;351;4139;01.01.2017
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch ;344;302;436;499;300;154;2035;01.01.2017
AT2;AT22;AT224;617;Weiz;61708;Fischbach ;207;239;278;341;260;183;1508;01.01.2017
AT2;AT22;AT224;617;Weiz;61710;Floing ;172;183;231;295;194;119;1194;01.01.2017
AT2;AT22;AT224;617;Weiz;61711;Gasen ;160;159;158;217;126;98;918;01.01.2017
AT2;AT22;AT224;617;Weiz;61716;Markt Hartmannsdorf ;445;502;617;684;421;293;2962;01.01.2017
AT2;AT22;AT224;617;Weiz;61719;Hofstätten an der Raab ;341;401;463;533;300;169;2207;01.01.2017
AT2;AT22;AT224;617;Weiz;61727;Ludersdorf-Wilfersdorf ;356;413;509;574;285;156;2293;01.01.2017
